"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Zotu.0482","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","Veillonella_parvula"
"Zotu.0483","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_thermocoprophilus"
"Zotu.0484","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_intermedia"
"Zotu.0485","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_aeruginosa"
"Zotu.0486","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_ge","Ruminococcaceae_ge_unclass"
"Zotu.0487","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_campinasensis"
"Zotu.0488","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_islandensis"
"Zotu.0489","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_chumphonensis"
"Zotu.0490","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_asaccharolytica"
"Zotu.0491","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aliihoeflea","Aliihoeflea_unclass"
"Zotu.0492","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","Dietzia_maris"
"Zotu.0493","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_naphthalenivorans"
"Zotu.0494","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_duraquae"
"Zotu.0495","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge","Subgroup_6_ge_unclass"
"Zotu.0496","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_diminuta"
"Zotu.0497","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella","Alishewanella_fetalis"
"Zotu.0498","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclass","Ruminococcaceae_unclass"
"Zotu.0499","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa"
"Zotu.0500","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora","Actinomycetospora_lutea"
"Zotu.0501","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax_soli"
"Zotu.0502","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_ginsengihumi"
"Zotu.0503","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa"
"Zotu.0504","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","Aquabacterium_citratiphilum"
"Zotu.0505","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Spelaeicoccus","Spelaeicoccus_unclass"
"Zotu.0506","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_unclass"
"Zotu.0507","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Dyadobacter_ginsengisoli"
"Zotu.0508","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Tepidiphilus","Tepidiphilus_succinatimandens"
"Zotu.0509","Bacteria","FBP","FBP_cl","FBP_or","FBP_fa","FBP_ge","FBP_ge_unclass"
"Zotu.0510","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Chryseomicrobium","Chryseomicrobium_aureum"
"Zotu.0511","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_unclass","Cytophagaceae_unclass"
"Zotu.0512","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group","Christensenellaceae_R-7_group_unclass"
"Zotu.0513","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aquamicrobium","Nitratireductor_lucknowense"
"Zotu.0514","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass"
"Zotu.0515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_arvi"
"Zotu.0516","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_graminis"
"Zotu.0517","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclass","Chitinophagaceae_unclass"
"Zotu.0518","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Thermasporomyces","Thermasporomyces_composti"
"Zotu.0519","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","Dactylosporangium_roseum"
"Zotu.0520","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","[Ruminococcus]_obeum"
"Zotu.0521","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter_anxifer"
"Zotu.0522","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass"
"Zotu.0523","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas_massiliensis"
"Zotu.0524","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_parafulva"
"Zotu.0525","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","Agromyces_ulmi"
"Zotu.0526","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Roseomonas_rhizosphaerae"
"Zotu.0527","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_ge","[Clostridium]_innocuum"
"Zotu.0528","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group_unclass"
"Zotu.0529","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Paenisporosarcina_indica"
"Zotu.0530","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexaceae_ge","Oligoflexaceae_ge_unclass"
"Zotu.0531","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea_eneae"
"Zotu.0532","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_pettenkoferi"
"Zotu.0533","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_barchaimii"
"Zotu.0534","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","[Eubacterium]_eligens"
"Zotu.0535","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pigmentiphaga","Pigmentiphaga_daeguensis"
"Zotu.0536","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ureibacillus","Ureibacillus_thermophilus"
"Zotu.0537","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Prauserella","Prauserella_rugosa"
"Zotu.0538","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_koreensis"
"Zotu.0539","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_psychrotolerans"
"Zotu.0540","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","JG30-KF-CM45_fa","JG30-KF-CM45_ge","JG30-KF-CM45_ge_unclass"
"Zotu.0541","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_prausnitzii"
"Zotu.0542","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass"
"Zotu.0543","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia_tsuruhatensis"
"Zotu.0544","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","Veillonella_parvula"
"Zotu.0545","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum","Planifilum_fimeticola"
"Zotu.0546","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella_bernardiae"
"Zotu.0547","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","Clostridium_tertium"
"Zotu.0548","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella_unclass"
"Zotu.0549","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Calditerricola","Calditerricola_yamamurae"
"Zotu.0550","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group","Prevotellaceae_NK3B31_group_unclass"
"Zotu.0551","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa","Asanoa_ishikariensis"
"Zotu.0552","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","Ochrobactrum_pseudintermedium"
"Zotu.0553","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_unclass"
"Zotu.0554","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group","Ruminococcaceae_NK4A214_group_unclass"
"Zotu.0555","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Roseomonas_musae"
"Zotu.0556","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclass","Ruminococcaceae_unclass"
"Zotu.0557","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_pittmaniae"
"Zotu.0558","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_unclass"
"Zotu.0559","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_unclass"
"Zotu.0560","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_odontolyticus"
"Zotu.0561","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_hartonius"
"Zotu.0562","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Parapedobacter","Parapedobacter_unclass"
"Zotu.0563","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","Ruminococcus_lactaris"
"Zotu.0564","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_faecium"
"Zotu.0565","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium_pusillum"
"Zotu.0566","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_mediterraneensis"
"Zotu.0567","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Roseburia_unclass"
"Zotu.0568","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_AD3011_group","Family_XIII_AD3011_group_unclass"
"Zotu.0569","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium_unclass"
"Zotu.0570","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis_panaciterrae"
"Zotu.0571","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ureibacillus","Ureibacillus_terrenus"
"Zotu.0572","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_spadix"
"Zotu.0573","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","Anaerococcus_octavius"
"Zotu.0574","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora_spinosa"
"Zotu.0575","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter","Variibacter_unclass"
"Zotu.0576","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","Gaiella_unclass"
"Zotu.0577","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_iners"
"Zotu.0578","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes_hadrus"
"Zotu.0579","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_haemolyticus"
"Zotu.0580","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","Sphaerobacter","Sphaerobacter_thermophilus"
"Zotu.0581","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia","Romboutsia_ilealis"
"Zotu.0582","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_unclass"
"Zotu.0583","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mobilitalea","Mobilitalea_unclass"
"Zotu.0584","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae_unclass","Caulobacteraceae_unclass"
"Zotu.0585","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_daejeonensis"
"Zotu.0586","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum_saburreum"
"Zotu.0587","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter_alimentarius"
"Zotu.0588","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_unclass"
"Zotu.0589","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_schindleri"
"Zotu.0590","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_globisporus"
"Zotu.0591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_unclass"
"Zotu.0592","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_variabilis"
"Zotu.0593","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella_elegans"
"Zotu.0594","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_echigonensis"
"Zotu.0595","Bacteria","TM6_","TM6_","TM6_","TM6_","TM6_","TM6__unclass"
"Zotu.0596","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas","Thermomonas_carbonis"
"Zotu.0597","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_thermacidophilum"
"Zotu.0598","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_unclass"
"Zotu.0599","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group_unclass"
"Zotu.0600","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Butyricimonas","Butyricimonas_unclass"
"Zotu.0601","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Leadbetterella","Leadbetterella_unclass"
"Zotu.0602","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas_sacchari"
"Zotu.0603","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_barchaimii"
"Zotu.0604","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_mayombei"
"Zotu.0605","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter","Odoribacter_unclass"
"Zotu.0606","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass"
"Zotu.0607","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass"
"Zotu.0608","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Ellin6055","Ellin6055_ge","Ellin6055_ge_unclass"
"Zotu.0609","Archaea","Woesearchaeota_","Woesearchaeota_","Woesearchaeota_","Woesearchaeota_","Woesearchaeota_","Woesearchaeota__unclass"
"Zotu.0610","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_unclass"
"Zotu.0611","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Hydrogenispora","Hydrogenispora_unclass"
"Zotu.0612","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group_unclass"
"Zotu.0613","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_trevisanii"
"Zotu.0614","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","p35j06ok","p35j06ok_ge","p35j06ok_ge_unclass"
"Zotu.0615","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinoalloteichus","Actinoalloteichus_cyanogriseus"
"Zotu.0616","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter_unclass"
"Zotu.0617","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","Anaerotruncus_unclass"
"Zotu.0618","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_marinum"
"Zotu.0619","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_plebeius"
"Zotu.0620","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002","Ruminococcaceae_UCG-002_unclass"
"Zotu.0621","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pseudorhodoferax","Pseudorhodoferax_caeni"
"Zotu.0622","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_alimentarium"
"Zotu.0623","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_terrae"
"Zotu.0624","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass"
"Zotu.0625","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax_boronicumulans"
"Zotu.0626","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014","Ruminococcaceae_UCG-014_unclass"
"Zotu.0627","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Thermocrispum","Thermocrispum_municipale"
"Zotu.0628","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Geothermomicrobium","Geothermomicrobium_terrae"
"Zotu.0629","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_aminovorans"
"Zotu.0630","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Corynebacterium_1_unclass"
"Zotu.0631","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ND3007_group","Lachnospiraceae_ND3007_group_unclass"
"Zotu.0632","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter","Aminobacter_unclass"
"Zotu.0633","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_unclass"
"Zotu.0634","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1","Ruminococcus_1_unclass"
"Zotu.0635","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_unclass"
"Zotu.0636","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_mayombei"
"Zotu.0637","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga","Cytophaga_unclass"
"Zotu.0638","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas","Glaciihabitans_tibetensis"
"Zotu.0639","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_pentosus"
"Zotu.0640","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Hydrogenispora","Hydrogenispora_unclass"
"Zotu.0641","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_tieshanensis"
"Zotu.0642","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","Dietzia_schimae"
"Zotu.0643","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_unclass"
"Zotu.0644","Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66_or","JG30-KF-CM66_fa","JG30-KF-CM66_ge","JG30-KF-CM66_ge_unclass"
"Zotu.0645","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Roseomonas_aerophila"
"Zotu.0646","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_oleivorans"
"Zotu.0647","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Serpens_flexibilis"
"Zotu.0648","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclass","Lachnospiraceae_unclass"
"Zotu.0649","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter","Sanguibacter_keddieii"
"Zotu.0650","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sartorii"
"Zotu.0651","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Brachymonas","Brachymonas_denitrificans"
"Zotu.0652","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_unclass"
"Zotu.0653","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Murdochiella","Levyella_massiliensis"
"Zotu.0654","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_gallinarum"
"Zotu.0655","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter_ginsengisoli"
"Zotu.0656","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax_avenae"
"Zotu.0657","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_bauzanensis"
"Zotu.0658","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_thermotolerans"
"Zotu.0659","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_","Blastocatella","Blastocatella_fastidiosa"
"Zotu.0660","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Parasutterella","Parasutterella_excrementihominis"
"Zotu.0661","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","Prevotella_dentalis"
"Zotu.0662","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium_unclass"
"Zotu.0663","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_amyloliquefaciens"
"Zotu.0664","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclass","uncultured_ge","uncultured_ge_unclass"
"Zotu.0665","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9","Ruminiclostridium_9_unclass"
"Zotu.0666","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","BIrii41_ge","BIrii41_ge_unclass"
"Zotu.0667","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella_lytica"
"Zotu.0668","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclass","Rhodobacteraceae_unclass"
"Zotu.0669","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_1","Coprococcus_1_unclass"
"Zotu.0670","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium_callanderi"
"Zotu.0671","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_barengoltzii"
"Zotu.0672","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas_koreensis"
