"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Zotu.1998","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass"
"Zotu.1999","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_solisilvae"
"Zotu.2000","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","Rikenellaceae_RC9_gut_group_unclass"
"Zotu.2001","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Aneurinibacillus","Aneurinibacillus_danicus"
"Zotu.2002","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae_unclass","Moraxellaceae_unclass"
"Zotu.2003","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass"
"Zotu.2004","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_unclass"
"Zotu.2005","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium_ginsengisoli"
"Zotu.2006","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Thermoactinomycetaceae_unclass","Thermoactinomycetaceae_unclass"
"Zotu.2007","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","[Eubacterium]_biforme"
"Zotu.2008","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_massiliensis"
"Zotu.2009","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group_unclass"
"Zotu.2010","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_UCG-001","Family_XIII_UCG-001_unclass"
"Zotu.2011","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga_granulosa"
"Zotu.2012","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia","Georgenia_muralis"
"Zotu.2013","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Allobaculum_unclass"
"Zotu.2014","Bacteria","Acidobacteria","Holophagae","Subgroup_7","Subgroup_7_fa","Subgroup_7_ge","Subgroup_7_ge_unclass"
"Zotu.2015","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Steroidobacter","Steroidobacter_agariperforans"
"Zotu.2016","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_unclass","Gemmatimonadaceae_unclass"
"Zotu.2017","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Thermasporomyces","Thermasporomyces_composti"
"Zotu.2018","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_rhizophila"
